Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,2. Scrambled input $s$,0.33,0.26,0.27,0.25,0.34,0.27
NAP-IG-Inputs,3. Permuted $W$ columns,0.29,0.27,0.25,0.25,0.26,0.28
NAP-IG-Inputs,4. Heuristic Depth Mean,,,,,,
NAP-IG-Inputs,DFA (Zero-shot),0.33,0.51,0.67,0.39,0.47,0.38
NAP-IG-Inputs,DFA (Best),0.34,0.51,0.67,0.39,0.47,0.38
NAP,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.25,0.25
NAP,2. Scrambled input $s$,0.39,0.25,0.26,0.25,0.25,0.30
NAP,3. Permuted $W$ columns,0.31,0.25,0.25,0.25,0.33,0.31
NAP,4. Heuristic Depth Mean,,,,,,
NAP,DFA (Zero-shot),0.27,0.40,0.40,0.26,0.30,0.29
NAP,DFA (Best),0.33,0.46,0.40,0.33,0.49,0.53
NAP-IG-Activations,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Activations,2. Scrambled input $s$,0.56,0.34,0.31,0.25,0.33,0.26
NAP-IG-Activations,3. Permuted $W$ columns,0.30,0.26,0.25,0.25,0.26,0.27
NAP-IG-Activations,4. Heuristic Depth Mean,,,,,,
NAP-IG-Activations,DFA (Zero-shot),0.36,0.40,0.41,0.28,0.35,0.40
NAP-IG-Activations,DFA (Best),0.43,0.40,0.41,0.28,0.35,0.40
