Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.28,,0.25,0.27,0.27
NAP-IG-Inputs,2. Scrambled input $s$,0.26,0.38,,0.25,0.28,0.34
NAP-IG-Inputs,3. Permuted $W$ columns,0.29,0.27,,0.28,0.31,0.30
NAP-IG-Inputs,4. Heuristic Depth Mean,,,,,,
NAP-IG-Inputs,DFA (Zero-shot),0.36,0.33,,0.27,0.29,0.29
NAP-IG-Inputs,DFA (Best),0.36,0.33,,0.27,0.31,0.31
NAP,1. Random $W$ (Lower Bound),0.25,0.34,,0.25,0.29,0.25
NAP,2. Scrambled input $s$,0.25,0.41,,0.26,0.25,0.34
NAP,3. Permuted $W$ columns,0.24,0.29,,0.26,0.27,0.28
NAP,4. Heuristic Depth Mean,,,,,,
NAP,DFA (Zero-shot),0.23,0.28,,0.26,0.40,0.38
NAP,DFA (Best),0.28,0.28,,0.27,0.40,0.38
NAP-IG-Activations,1. Random $W$ (Lower Bound),0.25,0.39,,0.26,0.28,0.25
NAP-IG-Activations,2. Scrambled input $s$,0.25,0.34,,0.27,0.26,0.29
NAP-IG-Activations,3. Permuted $W$ columns,0.23,0.28,,0.27,0.27,0.27
NAP-IG-Activations,4. Heuristic Depth Mean,,,,,,
NAP-IG-Activations,DFA (Zero-shot),0.23,0.30,,0.26,0.35,0.34
NAP-IG-Activations,DFA (Best),0.29,0.30,,0.27,0.35,0.34
