Method Category,Transfer Setting,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
Baseline,Random Alignment,0.25,0.25,,0.25,0.25,0.25,0.25
NAP-IG-Inputs,Gold (Upper Bound),0.91,1.13,,0.32,1.06,0.94,0.87
NAP-IG-Inputs,DFA (In-Distribution),0.24,0.37,,0.26,0.34,0.34,0.31
NAP-IG-Inputs,DFA (Near-Distribution),,,,0.26,0.35,0.33,0.31
NAP-IG-Inputs,DFA (Far/Zero-Shot),0.30,0.32,,0.25,0.28,0.28,0.29
NAP,Gold (Upper Bound),0.25,0.82,,0.25,0.89,1.10,0.66
NAP,DFA (In-Distribution),0.25,0.37,,0.26,0.37,0.38,0.33
NAP,DFA (Near-Distribution),,,,0.25,0.31,0.42,0.33
NAP,DFA (Far/Zero-Shot),0.32,0.27,,0.24,0.32,0.35,0.30
NAP-IG-Activations,Gold (Upper Bound),0.25,0.90,,0.25,0.90,1.11,0.68
NAP-IG-Activations,DFA (In-Distribution),0.25,0.36,,0.26,0.29,0.30,0.29
NAP-IG-Activations,DFA (Near-Distribution),,,,0.25,0.34,0.39,0.33
NAP-IG-Activations,DFA (Far/Zero-Shot),0.25,0.34,,0.25,0.34,0.48,0.33
