Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,2. Scrambled input $s$,0.35,,0.25,0.30,0.29,0.43
NAP-IG-Inputs,3. Permuted $W$ columns,0.26,0.25,0.30,0.25,0.38,0.39
NAP-IG-Inputs,4. Heuristic Depth Mean,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,DFA (Zero-shot),0.49,0.39,0.44,0.45,0.43,0.45
NAP-IG-Inputs,DFA (Best),0.61,0.49,0.50,0.47,0.49,0.49
NAP,1. Random $W$ (Lower Bound),,,,,,
NAP,2. Scrambled input $s$,,,,,,
NAP,3. Permuted $W$ columns,,,,,,
NAP,4. Heuristic Depth Mean,,,,,,
NAP,DFA (Zero-shot),,,,,,
NAP,DFA (Best),,,,,,
NAP-IG-Activations,1. Random $W$ (Lower Bound),,,,,,
NAP-IG-Activations,2. Scrambled input $s$,,,,,,
NAP-IG-Activations,3. Permuted $W$ columns,,,,,,
NAP-IG-Activations,4. Heuristic Depth Mean,,,,,,
NAP-IG-Activations,DFA (Zero-shot),,,,,,
NAP-IG-Activations,DFA (Best),,,,,,
